更新日,dailyDose,服用禁止,妊婦・授乳婦注意,対象成分含有フラグ,成分情報_JSON,用法用量_JSON,付加情報_JSON,製品の特長,製品名,指定濫用(＊：同ﾌﾞﾗﾝﾄﾞ内に対象含む),package,大小分岐,注釈･補足等,"妊婦･授乳婦､医療現場における位置づけ
　成育医療センター（妊娠と薬情報センター）は、L分類をベースに、「日本の医療現場･OTCの実情に合わせた独自の安全リスト」を国（厚労省事業）の予算で常に最新に更新｡L1安全〜L5危険｡L3は、ﾃﾞｰﾀの不足の否定はできないが、「授乳はそのまま続けて構いません」と案内するのが標準的
　オーストラリア分類（TGA）は、2015年のFDA分類廃止以降､世界標準として「妊婦への薬のリスク」を最も客観的に数値化｡A最安全〜X禁忌｡「Cの薬は原則として避ける」｡（NSAIDsは、妊娠初期〜中期までは「C」だが、妊娠後期（28週以降）「禁忌」）"
2026/07/02 0:08:27,12,12歳未満の小児,授乳中の人は服用しないか、服用時は授乳を避けること。妊婦又は妊娠していると思われる人は相談すること。,"コデイン, メチルエフェドリン","{""basis"":""12錠中"",""ingredients"":[{""name"":""コデインリン酸塩水和物"",""id"":""D02101"",""amount"":50,""unit"":""mg""},{""name"":""dl-メチルエフェドリン塩酸塩"",""id"":""D02109"",""amount"":75,""unit"":""mg""},{""name"":""クロルフェニラミンマレイン酸塩"",""id"":""D00665"",""amount"":12,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":60,""unit"":""mg""},{""name"":""セネガ乾燥エキス"",""id"":""D06747"",""amount"":89.82,""unit"":""mg""},{""name"":""セネガ"",""id"":""D06747"",""amount"":1500,""unit"":""mg""}]}","{""adult_dose"":""3錠×3回（さらに就寝前に1回服用可能）"",""daily_dose"":12,""prohibited_age"":""12歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""授乳中の人は服用しないか、服用時は授乳を避けること。妊婦又は妊娠していると思われる人は相談すること。"",""drug_category"":""鎮咳去痰薬"",""category_limit"":5,""packages"":[{""package_type"":""48錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",アネトンせき止め錠は、いろいろな原因で起こる「せき」をしずめ「たん」の切れをよくします。飲みやすいフィルムコーティング錠で、12歳のお子様から服用できます。,アネトンせき止め錠,〇,,,,
2026/07/02 0:17:16,9,12才未満の小児,授乳中の人は服用しないか、本剤を服用する場合は授乳を避けること。妊婦又は妊娠していると思われる人は服用前に相談すること。,"ジヒドロコデイン,メチルエフェドリン","{""basis"":""3錠中"",""ingredients"":[{""name"":""グアイフェネシン"",""id"":""D00337"",""amount"":60,""unit"":""mg""},{""name"":""ジヒドロコデインリン酸塩"",""id"":""D01481"",""amount"":8,""unit"":""mg""},{""name"":""dl-メチルエフェドリン塩酸塩"",""id"":""D02109"",""amount"":20,""unit"":""mg""},{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":300,""unit"":""mg""},{""name"":""クロルフェニラミンマレイン酸塩"",""id"":""D00665"",""amount"":2.5,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":25,""unit"":""mg""},{""name"":""リボフラビン"",""id"":""D00050"",""amount"":4,""unit"":""mg""}]}","{""adult_dose"":""3錠×3回"",""daily_dose"":9,""prohibited_age"":""12才未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""授乳中の人は服用しないか、本剤を服用する場合は授乳を避けること。妊婦又は妊娠していると思われる人は服用前に相談すること。"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[{""package_type"":""130錠"",""estimated_days"":14.4,""capacity_judgment"":""大容量""},{""package_type"":""210錠"",""estimated_days"":23.3,""capacity_judgment"":""大容量""}]}",パブロンゴールドA〈錠〉は、グアイフェネシンをはじめとする7種類の有効成分を配合したかぜ薬です。せき、たん、のどの痛み、くしゃみ、鼻水、鼻づまり、悪寒、発熱、頭痛、関節の痛み、筋肉の痛みなど、かぜの諸症状を総合的に緩和します。家庭の常備薬としてもおすすめです。,パブロンゴールドA〈錠〉,〇,,,"パブロンシリーズは基本はすべて対象、「パブロン50」のみ対象外
パブロンゴールドA〈錠〉：ﾎﾞﾄﾙ包装しか存在しない｡昔ながらの処方を守る、一番売れる大黒柱(Ace/Advanced予想)｡Aはﾊﾟﾌﾞﾛﾝにおける汎用の記号｡
        (1955年に「パブロンA・B」の2種発売。A：せきの出るかぜ用/B：熱の出るかぜ用。改良重ねられ「ゴールドA」となった現在でも「A」は「家族みんなで使える、せき・熱・鼻にバランスよく効く定番の常備薬」という記号)
        パブロンSゴールドW錠には30・42・60錠包装があり、すべてシート（PTP）包装。（「W」は、「2つの成分で、気道粘膜をダブルケア」）
        パブロンエースPro-X：大人専用。イブプロフェン600mgで「のどの痛み」に最強。
        パブロンS：5才（微粒は1才）から使えてノンカフェインのファミリー用。S：（Special / Superior）「優しさ・飲みやすさ」の進化系｡
　　パブロン鼻炎カプセルにはプソイドエフェドリン配合で、指定濫用対象？Saのこと？鼻炎速溶錠EXにも｡
　　持続性パブロン錠にはジヒドロｺﾃﾞｲﾝ・メチルエフェドリン配合。パブロンせき止めトリプル錠にはデキストロメトルファン配合
　★「パブロン」の大人向け（15才以上）の風邪薬・せき止め薬において、指定乱用成分非含有は「パブロン50」(麦門冬湯ﾍﾞｰｽ)｡",
2026/07/02 0:23:07,6,15才未満の小児,妊婦または妊娠していると思われる人は服用前に医師等に相談すること。授乳中は服用可能だが、念のため医師に相談すること。,-,"{""basis"":""6錠中"",""ingredients"":[{""name"":""サリチルアミド"",""id"":""D01811"",""amount"":648,""unit"":""mg""},{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":360,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":144,""unit"":""mg""},{""name"":""プロメタジンメチレンジサリチル酸塩"",""id"":""D03290"",""amount"":32.4,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""妊婦または妊娠していると思われる人は服用前に医師等に相談すること。授乳中は服用可能だが、念のため医師に相談すること。"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[]}",パイロンPL錠は、サリチルアミド、アセトアミノフェン、プロメタジンメチレンジサリチル酸塩、無水カフェインの4つの有効成分を配合した非ピリン系のかぜ薬です。これらの成分の作用により、「のどの痛み」「発熱」「鼻みず」など、かぜの諸症状に優れた効果を発揮します。,パイロンPL錠,対象外,無,,パイロン：「PL錠・PL錠Pro・PL顆粒・PL顆粒Pro」は指定濫用対象外、「PL錠ゴールド・溶かしてのむかぜ薬」は対象,
2026/07/02 0:34:59,6,15才未満の小児,妊婦または妊娠していると思われる人は服用前に相談,デキストロメトルファン,"{""basis"":""6錠中"",""ingredients"":[{""name"":""サリチルアミド"",""id"":""D01811"",""amount"":648,""unit"":""mg""},{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":360,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":144,""unit"":""mg""},{""name"":""プロメタジンメチレンジサリチル酸塩"",""id"":""D03290"",""amount"":32.4,""unit"":""mg""},{""name"":""デキストロメトルファン臭化水素酸塩水和物"",""id"":""D00848"",""amount"":48,""unit"":""mg""},{""name"":""ブロムヘキシン塩酸塩"",""id"":""D01778"",""amount"":12,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""妊婦または妊娠していると思われる人は服用前に相談"",""drug_category"":""かぜ薬（内用）"",""category_limit"":7,""packages"":[{""package_type"":""18錠"",""estimated_days"":3,""capacity_judgment"":""小容量""},{""package_type"":""30錠"",""estimated_days"":5,""capacity_judgment"":""小容量""}]}",パイロンPL錠 ゴールドは、サリチルアミドとアセトアミノフェン、プロメタジンメチレンジサリチル酸塩、無水カフェイン、デキストロメトルファン臭化水素酸塩水和物、ブロムヘキシン塩酸塩の6つの有効成分を配合した非ピリン系の総合かぜ薬です。せき、たん、のどの痛み、発熱、鼻みずなど、かぜの11症状に優れた効果を発揮します。,パイロンPL錠 ゴールド,〇,無→補完,,,
2026/07/02 0:37:13,8,15才未満の小児,授乳中の人、妊婦または妊娠していると思われる人は服用前に相談すること,-,"{""basis"":""8錠中"",""ingredients"":[{""name"":""サリチルアミド"",""id"":""D01811"",""amount"":1080,""unit"":""mg""},{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":600,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":240,""unit"":""mg""},{""name"":""プロメタジンメチレンジサリチル酸塩"",""id"":""D03290"",""amount"":54,""unit"":""mg""}]}","{""adult_dose"":""2錠×4回"",""daily_dose"":8,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""授乳中の人、妊婦または妊娠していると思われる人は服用前に相談すること"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[]}",パイロンPL錠Proは、解熱鎮痛成分であるサリチルアミドとアセトアミノフェン、抗ヒスタミン成分であるプロメタジンメチレンジサリチル酸塩、痛みをおさえるはたらきを助ける無水カフェインの4つの有効成分の作用により、「のどの痛み」「発熱」「鼻みず」などのかぜの諸症状にすぐれた効果を発揮する非ピリン系のかぜ薬です。,パイロンPL錠Pro,対象外,無,,,
2026/07/02 0:40:59,3,15才未満の小児,妊婦または妊娠していると思われる人は相談すること。授乳中は服用可能だが、念のため医師に相談すること。,-,"{""basis"":""3包中"",""ingredients"":[{""name"":""サリチルアミド"",""id"":""D01811"",""amount"":648,""unit"":""mg""},{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":360,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":144,""unit"":""mg""},{""name"":""プロメタジンメチレンジサリチル酸塩"",""id"":""D03290"",""amount"":32.4,""unit"":""mg""}]}","{""adult_dose"":""1包×3回"",""daily_dose"":3,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""妊婦または妊娠していると思われる人は相談すること。授乳中は服用可能だが、念のため医師に相談すること。"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[]}",パイロンPL顆粒は、解熱鎮痛成分サリチルアミドとアセトアミノフェン、抗ヒスタミン成分プロメタジンメチレンジサリチル酸塩、痛みをおさえるはたらきを助ける無水カフェインの4つの有効成分が作用し、「のどの痛み」「発熱」「鼻みず」などかぜの諸症状にすぐれた効果を発揮する非ピリン系かぜ薬です。,パイロンPL顆粒,対象外,無,,,
2026/07/02 0:55:39,4,15才未満の小児,授乳中の人、妊婦または妊娠していると思われる人は服用前に相談すること,-,"{""basis"":""4包(4g)中"",""ingredients"":[{""name"":""サリチルアミド"",""id"":""D01811"",""amount"":1080,""unit"":""mg""},{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":600,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":240,""unit"":""mg""},{""name"":""プロメタジンメチレンジサリチル酸塩"",""id"":""D03290"",""amount"":54,""unit"":""mg""}]}","{""adult_dose"":""1包×4回"",""daily_dose"":4,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""授乳中の人、妊婦または妊娠していると思われる人は服用前に相談すること"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[]}",パイロンPL顆粒Proは、解熱鎮痛成分であるサリチルアミドとアセトアミノフェン、抗ヒスタミン成分であるプロメタジンメチレンジサリチル酸塩、痛みをおさえるはたらきを助ける無水カフェインの4つの有効成分の作用により、「のどの痛み」「発熱」「鼻みず」などのかぜの諸症状にすぐれた効果を発揮する非ピリン系のかぜ薬です。,パイロンPL顆粒Pro,対象外,無,,,
2026/07/02 0:58:27,6,15歳未満の小児,出産予定日12週以内の妊婦は服用禁止。授乳中は服用しないか授乳を避けること。妊婦または妊娠していると思われる人は服用前に相談すること。,"メチルエフェドリン, ジヒドロコデイン","{""basis"":""6錠中"",""ingredients"":[{""name"":""イブプロフェン"",""id"":""D00126"",""amount"":450,""unit"":""mg""},{""name"":""クロルフェニラミンマレイン酸塩"",""id"":""D00665"",""amount"":7.5,""unit"":""mg""},{""name"":""dl-メチルエフェドリン塩酸塩"",""id"":""D02109"",""amount"":60,""unit"":""mg""},{""name"":""ジヒドロコデインリン酸塩"",""id"":""D01481"",""amount"":24,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":75,""unit"":""mg""},{""name"":""ヘスペリジン"",""id"":""D01038"",""amount"":90,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用禁止。授乳中は服用しないか授乳を避けること。妊婦または妊娠していると思われる人は服用前に相談すること。"",""drug_category"":""かぜ薬（内用）"",""category_limit"":7,""packages"":[{""package_type"":""18錠"",""estimated_days"":3,""capacity_judgment"":""小容量""},{""package_type"":""30錠"",""estimated_days"":5,""capacity_judgment"":""小容量""}]}",イブプロフェンの解熱鎮痛作用により、かぜによる発熱・悪寒・頭痛・のどの痛み・関節の痛みを緩和します。6種の成分がバランスよくはたらき、かぜの様々な症状を緩和。柑橘類などに含まれるビタミンPの一種であるヘスペリジンを配合。のみやすい小型の白色～帯黄白色のカプレットタイプの錠剤です。,ベンザブロックIP,〇,,,"ベンザブロック命名規則：カプレット=6T/日、円形錠(名称最後に”錠”)=9T/日、全シリーズで統一(「無印」「プレミアムDX」共通)
        「L・IP・S」/「L・IP・S」錠/「L・IP・S・T」プレミアムDX/「L・IP・S・T」プレミアムDX錠
　　        「YASUMO/せき止め液1回量のみ切りタイプ/せき止め錠/トローチ」も指定濫用該当(ﾄﾛｰﾁは対象､のどｽﾌﾟﾚｰは対象外)
",
2026/07/02 1:09:02,6,15歳未満の小児,出産予定日12週以内の妊婦は服用しないこと。授乳中の人は服用しないか、授乳を避けること。妊婦または妊娠していると思われる人は服用前に医師等に相談すること。,"メチルエフェドリン,ジヒドロコデイン","{""basis"":""6錠中"",""ingredients"":[{""name"":""イブプロフェン"",""id"":""D00126"",""amount"":360,""unit"":""mg""},{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":180,""unit"":""mg""},{""name"":""d-クロルフェニラミンマレイン酸塩"",""id"":""D00668"",""amount"":3.5,""unit"":""mg""},{""name"":""dl-メチルエフェドリン塩酸塩"",""id"":""D02109"",""amount"":60,""unit"":""mg""},{""name"":""ジヒドロコデインリン酸塩"",""id"":""D01481"",""amount"":24,""unit"":""mg""},{""name"":""グリチルリチン酸"",""id"":""D00157"",""amount"":39,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":75,""unit"":""mg""},{""name"":""アスコルビン酸カルシウム"",""id"":""D02293"",""amount"":500,""unit"":""mg""},{""name"":""ヘスペリジン"",""id"":""D01038"",""amount"":90,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用しないこと。授乳中の人は服用しないか、授乳を避けること。妊婦または妊娠していると思われる人は服用前に医師等に相談すること。"",""drug_category"":""かぜ薬（内用）"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":2,""capacity_judgment"":""小容量""},{""package_type"":""24錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",イブプロフェンとアセトアミノフェンの2種の解熱鎮痛成分が、発熱・悪寒、頭痛、のどの痛み、関節の痛みを緩和します。グリチルリチン酸がのどの炎症をおさえ、ビタミンCとヘスペリジンも配合。9種の成分でかぜの諸症状を総合的に緩和する薬です。,ベンザブロックIPプレミアム,〇,,,,
2026/07/02 1:14:59,9,15歳未満の小児,出産予定日12週以内の妊婦は服用しないこと。授乳中の人は本剤を服用しないか、服用する場合は授乳を避けること。妊婦または妊娠していると思われる人は服用前に医師等に相談すること。,"メチルエフェドリン, ジヒドロコデイン","{""basis"":""9錠中"",""ingredients"":[{""name"":""イブプロフェン"",""id"":""D00126"",""amount"":450,""unit"":""mg""},{""name"":""クロルフェニラミンマレイン酸塩"",""id"":""D00665"",""amount"":7.5,""unit"":""mg""},{""name"":""dl-メチルエフェドリン塩酸塩"",""id"":""D02109"",""amount"":60,""unit"":""mg""},{""name"":""ジヒドロコデインリン酸塩"",""id"":""D01481"",""amount"":24,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":75,""unit"":""mg""},{""name"":""ヘスペリジン"",""id"":""D01038"",""amount"":90,""unit"":""mg""}]}","{""adult_dose"":""3錠×3回"",""daily_dose"":9,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用しないこと。授乳中の人は本剤を服用しないか、服用する場合は授乳を避けること。妊婦または妊娠していると思われる人は服用前に医師等に相談すること。"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[{""package_type"":""30錠"",""estimated_days"":3.3,""capacity_judgment"":""小容量""},{""package_type"":""45錠"",""estimated_days"":5,""capacity_judgment"":""小容量""}]}",イブプロフェンの解熱鎮痛作用でかぜによる発熱・さむけ・頭痛・のどの痛み・関節の痛みを緩和する。6種の成分がバランスよく働き、かぜの諸症状（発熱、悪寒、頭痛、のどの痛み、関節の痛み、鼻水、鼻づまり、筋肉の痛み、せき、たん、くしゃみ）を緩和。柑橘類などに含まれるヘスペリジンを配合した、のみやすい小型の白色～帯黄白色の円形錠剤。,ベンザブロックIP錠,〇,,,,
